Date,Holiday Name,ACT,NSW,NT,QLD,SA,TAS,VIC,WA
2023-01-26,Australia Day,1,1,1,1,1,1,1,1
2023-03-06,Labour Day,0,0,0,0,0,0,0,1
2023-03-13,March Public Holiday,0,0,0,0,1,0,0,0
2023-03-13,Canberra Day,1,0,0,0,0,0,0,0
2023-03-13,Labour Day,0,0,0,0,0,0,1,0
2023-03-13,Eight Hours Day,0,0,0,0,0,1,0,0
2023-04-07,Good Friday,1,1,1,1,1,1,1,1
2023-04-08,Easter Eve,1,1,1,1,1,0,1,0
2023-04-09,Easter Sunday,1,1,0,0,0,0,1,1
2023-04-10,Easter Monday,1,1,1,1,1,1,1,1
2023-04-25,Anzac Day,1,1,1,1,1,1,1,1
2023-05-01,May Day,0,0,1,0,0,0,0,0
2023-05-01,Labour Day,0,0,0,1,0,0,0,0
2023-05-29,Reconciliation Day,1,0,0,0,0,0,0,0
2023-06-05,Western Australia Day,0,0,0,0,0,0,0,1
2023-06-12,King's Birthday,1,1,1,0,1,1,1,0
2023-08-07,Picnic Day,0,0,1,0,0,0,0,0
2023-10-02,Labour Day,1,1,0,0,1,0,0,0
2023-12-25,Christmas Day,1,1,1,1,1,1,1,1
2023-12-26,Boxing Day,1,1,1,1,1,1,1,1
2024-01-01,New Year's Day,1,1,1,1,1,1,1,1
2024-01-26,Australia Day,1,1,1,1,1,1,1,1
2024-03-04,Labour Day,0,0,0,0,0,0,0,1
2024-03-11,Canberra Day,1,0,0,0,0,0,0,0
2024-03-11,March Public Holiday,0,0,0,0,1,0,0,0
2024-03-11,Eight Hours Day,0,0,0,0,0,1,0,0
2024-03-11,Labour Day,0,0,0,0,0,0,1,0
2024-03-29,Good Friday,1,1,1,1,1,1,1,1
2024-03-30,Easter Eve,1,1,1,1,1,0,1,0
2024-03-31,Easter Sunday,1,1,0,0,0,0,1,1
2024-04-01,Easter Monday,1,1,1,1,1,1,1,1
2024-04-25,Anzac Day,1,1,1,1,1,1,1,1
2024-05-06,May Day,0,0,1,0,0,0,0,0
2024-05-06,Labour Day,0,0,0,1,0,0,0,0
2024-05-27,Reconciliation Day,1,0,0,0,0,0,0,0
2024-06-03,Western Australia Day,0,0,0,0,0,0,0,1
2024-06-10,King's Birthday,1,1,1,0,1,1,1,0
2024-08-05,Picnic Day,0,0,1,0,0,0,0,0
2024-10-07,Labour Day,1,1,0,0,1,0,0,0
2024-12-25,Christmas Day,1,1,1,1,1,1,1,1
2024-12-26,Boxing Day,1,1,1,1,1,1,1,1
2025-01-01,New Year's Day,1,1,1,1,1,1,1,1
2025-01-27,Australia Day,1,1,1,1,1,1,1,1
2025-03-03,Labour Day,0,0,0,0,0,0,0,1
2025-03-10,Canberra Day,1,0,0,0,0,0,0,0
2025-03-10,March Public Holiday,0,0,0,0,1,0,0,0
2025-03-10,Eight Hours Day,0,0,0,0,0,1,0,0
2025-03-10,Labour Day,0,0,0,0,0,0,1,0
2025-04-18,Good Friday,1,1,1,1,1,1,1,1
2025-04-19,Easter Eve,1,1,1,1,1,0,1,0
2025-04-20,Easter Sunday,1,1,0,0,0,0,1,1
2025-04-21,Easter Monday,1,1,1,1,1,1,1,1
2025-04-25,Anzac Day,1,1,1,1,1,1,1,1
2025-05-05,May Day,0,0,1,0,0,0,0,0
2025-05-05,Labour Day,0,0,0,1,0,0,0,0
2025-06-02,Reconciliation Day,1,0,0,0,0,0,0,0
2025-06-02,Western Australia Day,0,0,0,0,0,0,0,1
2025-06-09,King's Birthday,1,1,1,0,1,1,1,0
2025-08-04,Picnic Day,0,0,1,0,0,0,0,0
2025-10-06,Labour Day,1,1,0,0,1,0,0,0
2025-12-25,Christmas Day,1,1,1,1,1,1,1,1
2025-12-26,Boxing Day,1,1,1,1,1,1,1,1
2026-01-01,New Year's Day,1,1,1,1,1,1,1,1
2026-01-26,Australia Day,1,1,1,1,1,1,1,1
2026-03-02,Labour Day,0,0,0,0,0,0,0,1
2026-03-09,Canberra Day,1,0,0,0,0,0,0,0
2026-03-09,March Public Holiday,0,0,0,0,1,0,0,0
2026-03-09,Eight Hours Day,0,0,0,0,0,1,0,0
2026-03-09,Labour Day,0,0,0,0,0,0,1,0
2026-04-03,Good Friday,1,1,1,1,1,1,1,1
2026-04-04,Easter Eve,1,1,1,1,1,0,1,0
2026-04-05,Easter Sunday,1,1,0,0,0,0,1,1
2026-04-06,Easter Monday,1,1,1,1,1,1,1,1
2026-04-25,Anzac Day,1,1,1,1,1,1,1,1
2026-05-04,May Day,0,0,1,0,0,0,0,0
2026-05-04,Labour Day,0,0,0,1,0,0,0,0
2026-06-01,Reconciliation Day,1,0,0,0,0,0,0,0
2026-06-01,Western Australia Day,0,0,0,0,0,0,0,1
2026-06-08,King's Birthday,1,1,1,0,1,1,1,0
2026-08-03,Picnic Day,0,0,1,0,0,0,0,0
2026-10-05,Labour Day,1,1,0,0,1,0,0,0
2026-12-25,Christmas Day,1,1,1,1,1,1,1,1
2026-12-26,Boxing Day,1,1,1,1,1,1,1,1
